marchf1	36951
zgc:110410	GRINA
tmem269	RP5-994D16.11
LOC107390461	ATP6AP1
cacna1fa	CACNA1D
bcas1	BCAS1
LOC107390508	ZNF236
LOC107390474	FBXO44
kiaa1549lb	KIAA1549L
LOC107381196	XKR5
LOC107396956	ZNF594
LOC107395562	ZNF180
LOC107395563	ZNF180
LOC107395564	ZNF180
LOC107395558	ZNF180
zgc:154093	CDC42EP2
LOC107372831	SOX14
LOC107393009	ZNF594
LOC107392716	DNASE2B
LOC107392974	RNF14
LOC107393037	ZNF594
sirt5	SIRT5
xxylt1	ZNF180
LOC107392742	HTR3C
LOC107372864	CARTPT
LOC107393038	ZNF180
LOC107392746	HTR3C
phactr1	PHACTR1
LOC107392963	CNTNAP4
LOC107392842	IFI44L
LOC129167796	NCBP2-AS2
LOC107392671	CLDN1
LOC107392839	IFI44L
LOC107392982	THAP1
LOC139066246	EPM2AIP1
stat4	STAT1
c4b	C4B
LOC107375822	ZNF180
LOC107375799	CNTNAP4
LOC107375867	CYP3A43
LOC107376033	PTEN
LOC139061534	SENP1
col17a1b	COL17A1
LOC107376065	MYNN
dachc	DACH1
gtpbp2a	GTPBP2
LOC107376064	MYNN
tex36	TEX36
map3k21	RP5-862P8.2
LOC107376010	SH3PXD2A
LOC107373835	ZSCAN2
LOC107397149	SHISA7
hydin	HYDIN
LOC139062253	FAM161A
LOC107373210	ZNF180
LOC107373211	FAM109A
LOC107396751	LRAT
LOC107396752	ZSCAN2
lratb.2	LRAT
gba3	GBA3
LOC107377433	ZNF594
LOC107381807	GUCA1B
zgc:158482	SLC27A2
nr2e3	NR2E3
LOC107381744	MORF4L2
LOC107372923	ZNF180
LOC107372408	PPHLN1
LOC107373619	ZNF594
LOC107373622	ZNF180
LOC129154817	ZNF180
LOC107395266	ACOT1
LOC107388491	PDZRN4
LOC107388467	ZNF594
ebf1a	EBF1
LOC107377219	CCNYL1
LOC107377289	LMLN
LOC129153124	E2F4
LOC107381397	CARMIL2
gas8	GAS8
LOC107381408	RASSF10
LOC107381558	TBC1D3E
ctrb.3	CTRB1
zgc:162592	GPR21
LOC107394705	SERPINB10
LOC139064255	YWHAB
LOC139064266	ZNF594
LOC139066103	ZNF79
si:dkey-237h12.3	TENM3
LOC107375482	TIMD4
zgc:162144	RD3
LOC107376649	SALL1
LOC107375468	DSCAM
LOC107377296	CCDC155
jakmip1	C4orf50
LOC107375875	CXCL8
LOC107376917	ZSCAN2
cabp2b	CABP1
LOC107377442	TJAP1
LOC107377278	SLC24A3
si:rp71-46j2.7	SNX25
nox1	NOX1
LOC107376640	ZNF180
LOC107376295	FBXO44
LOC107377511	BSCL2
LOC107376214	APOLD1
LOC107396800	B4GALT1
LOC107372727	ZNF180
LOC107394607	ZNF594
LOC107374002	ZNF594
LOC107372689	ZNF594
LOC107372727	ZSCAN2
LOC107372840,LOC107374455,LOC139061483	SERPINB10
LOC107376769	CACNA1H
LOC107386806	TBX2
LOC107386555	ZNF180
si:ch1073-224n8.1	ZNF180
LOC107386556	ZNF180
LOC107386443	CAPN6
LOC107386361	YAP1
LOC107386456	ZNF180
si:ch211-284e13.4	IRS1
gabrr3a	GABRR3
LOC107386557	ATRX
LOC107386516	IL18R1
LOC107386742	CD248
slc25a35	SLC25A35
LOC129153235	ZNF180
LOC107374368	ZSCAN2
LOC107384621	ZNF711
LOC107395518	ZSCAN2
LOC107395520	CNTFR
LOC129156787	ZNF180
LOC107374113	RP11-1021N1.1
LOC107389636	EZR
LOC107376198,LOC107389505,LOC107389506	FTL
LOC139062763	IL1R1
LOC107389677	ZNF594
LOC107389624	ZNF594
LOC107389484	DUSP3
LOC107389459	SOGA1
LOC107389429	SLC22A4
LOC107396953	SLC22A4
LOC107389584	ZNF180
LOC107372345	A3GALT2
zgc:158659	PIK3CA
wu:fe05a04	ZNF594
znf576.1	ZNF554
zgc:66448	ZNF594
LOC107378642	SALL1
LOC107378669	PON1
LOC129165501	ZNF180
LOC139070329	ZNF180
smad2	SMAD2
LOC107374843	SCAMP1
LOC107394134	ATP5A1
LOC107395637	ZNF180
LOC139070480	ARL3
ppp1r3c2a	PPP1R3C
LOC107374832	F2R
LOC107396549	B3GNT8
prrc2b	PRRC2B
slc5a1	SLC5A9
LOC107395423	TMEM132D
zdhhc8a	ZDHHC8
LOC107373726	FAM222A
LOC107374807	HMGXB3
LOC107372554	KRT32
si:dkeyp-113d7.1	ZNF180
LOC107382530	ESCO1
cfap221	CFAP221
LOC107390058	SLC47A1
LOC107388826	ZNF594
rexo5	REXO1
LOC107388294	ZNF594
zgc:154142	CUBN
LOC107391131	C3
LOC107391526	BPTF
LOC107390414	CD300C
cyp3a65	CYP3A43
pecam1b	PECAM1
LOC107391137	SIGLEC1
LOC107389006	PYDC1
si:dkeyp-75b4.8	LITAF
LOC107390359	C3
LOC107389102	PDE4B
LOC139069775	PRDM11
LOC107395741	GJB1
LOC107394333	ZNF462
si:dkey-215k6.1	TMEM132D
LOC107372935	ZNF594
LOC107392597	IFI27L1
LOC107392596	IFI27L1
si:ch211-51c14.1	PACSIN3
LOC107378373	HBG1
LOC107378372,LOC107378381	HBG1
zgc:195001	TRIM29
map3k14a	MAP3K14
zgc:153292	RP11-293I14.2
ccndx	CCND1
LOC107372877	ZSCAN2
LOC107389176	CYP2J2
kcp	KCP
LOC107389090	PRMT8
LOC107374656,LOC107388611,LOC129152249,LOC129154694,LOC129157086,LOC129159212,LOC129159217,LOC129160110,LOC129162113,LOC139061466,LOC139063548	ACCS
LOC107389110	TAF4
LOC107388935	AHCYL2
LOC107389175	CYP2J2
zgc:173742	TOP1
LOC107389071	ZNF536
LOC107389282,LOC107389283	CHST4
LOC107388506	PARP6
LOC107388683,LOC107388684,LOC107388685,LOC107388686	FADS1
LOC107388524	GSE1
LOC107388601	SLCO1C1
LOC107389039	TRIM29
LOC107388975	TTN
LOC107389204	SLC1A1
cart2	CARTPT
LOC129163762	RNASE2
LOC107380959	COBLL1
LOC107381121	FGF14
sox1b	SOX1
LOC107380974	ZNF180
LOC107381127	ZNF594
LOC107380973	ZNF180
LOC107380990	COL28A1
LOC107380975	ZNF594
LOC107381092	POMZP3
si:dkeyp-14d3.1	TMEM132D
LOC107393904	KIF2A
LOC107393887	ARRDC2
LOC107394046	SMAD4
LOC129152928	GIN1
LOC107393732	NEURL3
clip1a	CLIP1
LOC107394189	PITPNM2
zgc:158398	TMEM248
LOC107393766,fabp4a	FABP4
hmcn2	HMCN1
ggt1a	GGTLC3
si:dkey-96l17.6	KIFC3
aplnra	APLNR
LOC107393661	RP1-130H16.18
LOC107393888	ARRDC3
prkg1l	PRKG1
lzts3b	LZTS3
LOC107393580	MSANTD4
LOC107394164	SCAMP1
LOC107393628	TMEM132D
LOC107393852	C2orf81
si:ch211-200p22.4	PICALM
si:dkey-183c6.7	SLC14A1
LOC107377113	CXCL8
LOC107376898	ZNF638
LOC107376901	ZNF638
LOC107376988	ADCY7
LOC107376881	ENDOD1
LOC107377054	CXCL8
gphna	GPHN
LOC129165272	CEMIP
LOC107396826	ZNF180
LOC107396825	ZSCAN2
LOC107374362	ZNF180
LOC129161858	ZNF594
LOC107373312	HIPK2
LOC139066155	ZNF594
gnpat2	GNPAT
LOC107374538	COX5B
LOC107397097	FMO4
si:dkey-239i20.4	FMO4
LOC107394576	MICB
pdia8	PDIA3
zdhhc3b	ZDHHC7
LOC107394435	MXRA5
LOC107394478	ZNF180
LOC107394374	CTNNB1
LOC107394477	ZNF79
LOC107394447	CEACAM1
LOC107394582	ZSCAN2
si:rp71-45k5.2	FOXH1
LOC107394583	ZNF594
LOC107394448	IGKV2D-26
LOC107394457	PI4KB
LOC129164545	RPA4
LOC129164564	PRDM5
LOC129164552	LHX9
LOC107394389	XKR8
LOC107394574	KCNN1
LOC107394475	ZNF180
LOC107394472	ZNF594
LOC139063387	KIAA1755
si:dkey-72l14.3	HYAL4
LOC107390924	HNRNPA3
fignl2	FIGN
LOC129164758	LRMP
sema3b	SEMA3B
si:dkeyp-100a1.6	GPR160
LOC139062079	ZNF180
LOC107374292	ZNF180
LOC107395684	ZBTB49
LOC107395685	ZNF180
LOC129160923	ZNF180
LOC107374910	KANK1
LOC107374908	ZNF180
hipk1a	HIPK1
LOC107373392	ZNF594
LOC107374441	ZNF180
LOC107394638	LMX1B
pomk	POMK
LOC107395259	TCF7L1
LOC107396808	ZNF79
LOC107379295	HMCN2
LOC107379239	TPM1
si:dkeyp-97a10.3	CEACAM1
sri	GCA
LOC107379177	RARB
LOC107379399	APOA4
LOC129154570	ZBED1
LOC107379270	FZD1
LOC107379365	ZC3H12A
LOC107379327	RP11-96L14.8
si:ch211-231m23.4	FFAR2
LOC129163418	ZNF180
LOC107372874	ACOT1
LOC107396948	DAAM1
LOC107374406	ZNF180
LOC107382845	CSTA
LOC107382812	GORASP1
LOC107382995	B4GALT1
oplah	OPLAH
si:dkey-97a13.12	AHI1
ptgdsb.1	PTGDS
LOC107383418	TRIM29
LOC107387082	ZNF180
usp6nl	USP6NL
LOC107384600	TSPAN8
LOC107382991	ANGPTL5
zgc:162331	SUSD3
LOC107386102	ZSCAN2
gsg1l2b	GSG1L2
LOC107385788	NEU3
LOC107387724	RP11-831H9.11
LOC139072241	SENP5
LOC107387339	BCL2L14
mansc1	MANSC1
LOC139071554	ZNF180
LOC107384099	SAPCD2
LOC107386981	PROSER2
LOC107383253	ZSCAN2
prmt8b	PRMT8
LOC129160608	ANGPTL5
odad4	TTC25
LOC107392604	ADH6
LOC107372883	CEP250
LOC107396551	ZNF609
LOC107372943	ZP4
LOC107387115	ZNF594
LOC129164542	MB21D1
rbm43	RBM43
LOC107394885	DDX6
LOC107394924	ZMYM3
LOC107372597	ZNF594
LOC107378088	OTX2
yy1b	YY2
arf6a	ARF6
LOC107396536	ZNF594
LOC129161194	ZNF180
si:ch211-63p21.8	KLHL33
LOC107377146	KLHL33
LOC107377130	GPHB5
si:ch211-63p21.2	FHOD1
LOC129157012	ZNF594
LOC107396743	EGR4
LOC107396731	ZSCAN2
LOC107397287	ZNF180
LOC107383444	TCOF1
LOC107383710	ZNF594
LOC107383714	ZNF180
LOC107383725	ZNF180
tril	TRIL
LOC107383449	CNTNAP4
si:ch211-152p11.4	RGS4
zfyve9a	ZFYVE9
LOC107383478	ZNF180
LOC107383702	ZNF180
LOC107383717	ZNF594
LOC107383694	ZSCAN2
ube2e1	UBE2E1
LOC107383705	ZNF180
LOC107383414	DIP2C
LOC107383193	SNRK
hnrnpc	HNRNPCL3
LOC107383178	ZNF180
si:ch211-284o19.8	GRINA
LOC107383592	C15orf59
LOC107383350	PRR15
LOC107383314	GRN
LOC107373492	ERVFRD-1
LOC107395451	TIMD4
LOC139066265	ZNF180
ano1a	ANO1
LOC107382645	SERPINB10
LOC107382626	ZNF180
LOC107382629	CPNE3
cebp1	CEBPA
LOC107396174	ZNF180
LOC107396179	SDC2
slbp2	SLBP
LOC107395847	EGR1
LOC107374142	TTC31
tspan34a	TSPAN1
si:dkey-28b4.8	ATP2A2
ptprdb	PTPRD
LOC107382301	LDLR
LOC107382355	ZNF638
tenm3	TENM3
LOC139070775	CYR61
LOC107380919	ZBTB49
LOC107380855	VEGFC
LOC107380884	IRS4
LOC107380925	ZNF594
LOC107380918	ZSCAN2
LOC107396891	ZNF180
LOC107380921	ZNF180
LOC107374396	ZNF180
LOC107372692,LOC129154771,LOC129154868,LOC129159913,LOC129159919,LOC139066192,LOC139066196	TAAR5
LOC107390309	KRT32
LOC107390267	COX5B
si:ch211-67e16.4	ZNF554
LOC107374203	ZNF180
LOC107389384	LCT
parp14rs1	PARP15
LOC107372970	BAX
zgc:154058	TMEM150A
LOC107375606	SAMD8
zgc:110319	NFU1
LOC107375745	NRXN1
si:ch211-198a12.6	ZSCAN2
LOC139061969	ARHGAP19-SLIT1
prim2	PRIM2
trim8a	TRIM8
LOC107372880	ZNF180
LOC139062504	CEMIP
LOC107396893	ZNF180
LOC107396895	ZSCAN2
LOC139061479	ZNF180
LOC107391279	CNGA2
elf2a	ELF2
LOC107386978	MGAT4D
LOC129162817,LOC129162878	THAP12
LOC107373292,LOC139066161	ZNF180
LOC107395677	B4GALT1
LOC107372964,LOC107373172	ZNF594
LOC107397113	TMEM182
zgc:66433	KIAA1211L
LOC107396975	CREM
LOC107373897	PRSS48
acp7	ACP7
LOC107392433	RAB15
plppr3a	PLPPR3
arf6b	ARF6
LOC107392123	RABGAP1L
zgc:101744	REEP6
c18h14orf180	CNST
ppp2r5ca	PPP2R5C
yy1a	YY2
LOC107392334	RP11-371E8.4
LOC107392571	PPP1R13B
eif5a2	EIF5A2
col12a1a	COL12A1
LOC107392059	SH3GLB2
LOC129163631	CDC42EP2
LOC107395102	FAM111B
LOC107384637,LOC107390152,LOC107391533	TUBA1C
zgc:86609	EMC3
tfe3a	TFE3
LOC107373119	ZNF180
palm1a	PALM
LOC107395477	ZSCAN2
LOC107395478	ZNF180
LOC107394001	SRD5A2
LOC107393358	KRT32
cabp2a	CABP1
si:ch73-109d9.2	ZNF180
LOC107393474	PRDM11
LOC129164300	GAS8
LOC107392525	KRT32
LOC107391911	ZNF180
LOC107392486	KRT32
si:ch211-196h16.12	RGS5
LOC107392509	KRT32
LOC107393648	ZNF180
unc13a	UNC13A
LOC107393335	SLC25A42
LOC107393351,LOC107393354,rab11bb	RAB11A
si:dkey-192p21.6	HGSNAT
LOC129166752	LRRC1
LOC129161831	ZNF180
LOC107379822	CDKL1
si:ch211-137a8.2	CLMN
LOC107379858	NAXD
LOC107379823	PLCD1
LOC107379843	RAB1B
LOC107379814,LOC107386875,LOC107387084	CLDN4
LOC107379811	CLDN4
lgals9l3	LGALS9
LOC107396898	ZNF594
LOC107380743,LOC107380744,LOC107380802,LOC107380803	POMZP3
LOC107380767	A2ML1
LOC107397122	CDH1
LOC107397123	ZNF318
LOC139066234	ZNF180
LOC107374386	ZNF180
rpp14	RPP14
LOC129159263	RP11-80H18.3
LOC129159262	ZBED1
LOC107379042	CNTNAP4
LOC107379040	GABBR2
LOC107378963	SIGLEC1
LOC139061501	ZNF180
LOC107379038	ZNF594
pycard	PYDC1
LOC107379079	PPT2-EGFL8
LOC107379013	SMAD4
LOC107379058	SIGLEC1
LOC129160932	PCDHB2
LOC107374107	PCDHB2
zgc:152891	ALOX12B
LOC107395247	F13B
LOC107396899	ZNF594
LOC139061516	ZNF180
LOC139069949	IFITM5
LOC107373754	ZNF180
slc37a4b	SLC37A4
LOC107383435	TRIM29
ier3	TOR4A
LOC107386284	ROBO3
LOC107386203	RGS3
LOC107386147	ZNF180
lrrc74b	LRRC74B
LOC107386146	ZBTB49
LOC107386050	ANKRD31
LOC107385983	HNRNPL
LOC107386020	GLB1L3
LOC107385981	IRF2BP2
LOC107386204	FIBCD1
LOC107386156	ZMIZ2
LOC107386141,rab14l	RAB14
LOC107386290	UGT2B7
LOC107386291	UGT2B7
lhx6b	LHX6
entr1	SDCCAG3
LOC107397303	ZBTB49
LOC107396388	PRSS48
LOC107374199	ZNF594
LOC107378872	YWHAB
tstd3	TSTD3
LOC107374592	ZNF180
LOC107373056	ZNF180
calm1a,calm2a,calm3a	CALM1
col28a2a	COL28A1
mid1	MID1
LOC107390173	MGAT5
LOC107390090	ERMN
LOC107390125	ZNF180
LOC107390023	SLC25A12
abcb11a	ABCB11
nlgn4xb	NLGN4X
ptk2aa	PTK2
LOC107393438	PRAM1
myo15b	MYO15B
LOC107397211	ZNF594
LOC107397214	OIT3
LOC107382626	ZNF594
LOC107394843	EPN1
LOC107394837,cox6b1,cox6b2	COX6B1
LOC107394842	RCVRN
LOC107388388	ZNF180
LOC107374412	ZNF180
LOC107375068	LRRC70
nptxrb	NPTX2
LOC107375049	LIFR
LOC107375272	ALOX12B
nim1kb	NIM1K
LOC107396431	ZNF180
gspt1l	GSPT2
LOC107391568,ca10a	CA10
LOC107391600	PRSS48
LOC107391635	RP11-176H8.1
si:dkey-283b1.7	VWC2L
LOC107397321	ATP6V0C
LOC107397360	ZNF594
LOC129163768	ZNF594
LOC107377840	SLC22A2
grem1a	GREM1
LOC107377834	SPECC1L
cep170bb	CEP170B
LOC107377838	PLB1
LOC129152188	RRM2
LOC107377652	RTN4IP1
LOC107377860	TRDN
LOC107377931	RRM2
LOC139070550	NGDN
xkr5a	XKR5
mixl1	PROP1
LOC107377780	GZMA
rbm25b	RBM25
LOC107377492	SH3BGRL3
mthfd1a	MTHFD1
LOC107376782	ZNF180
LOC107376830	ZNF180
LOC107376839	ZNF180
LOC107376814	INPP4B
LOC107376867	MRC2
LOC107376797	SH3D19
LOC107376861	PDCD1LG2
LOC107376828	ZNF594
LOC107376808	ZBTB41
LOC107376790	GAB1
LOC107376842	ZNF180
LOC107376801	ZNF180
LOC107376846	ZNF180
LOC129165080	ZNF180
LOC107376860	ANP32D
LOC139066135	ZSCAN2
LOC107376799	ZNF180
LOC107376832,LOC139061508	TRIM29
LOC139066162	ZNF180
LOC107376818	TRPV2
LOC107376786	ZNF180
LOC107376843,LOC129156057	ZNF180
LOC107376833	ZNF180
LOC107376792	PDCD1LG2
LOC107376835	CDKL2
LOC107382751	GK2
ttn.2	TTN
zic2b	ZIC5
arhgap17b	ARHGAP17
LOC107376319	ZNF180
tspan34b	TSPAN1
si:ch211-106h11.3	CYR61
ppp1r27a	PPP1R27
LOC107376618	RP11-77H9.1
tedc2	C16orf59
LOC107376578	HLA-DQA1
LOC107376631	ZNF180
LOC107376632	ZNF180
LOC107376166	AC233755.1
rbbp6	RBBP6
LOC107376546	ZNF180
LOC107376593	POMZP3
si:ch211-106h11.1	LRRC8D
bptf	BPTF
mpst	MPST
LOC107376162	HLA-DMB
LOC107374214	RARRES3
si:dkey-260j18.2	KLHL17
LOC139071426	NWD1
LOC107395083	CHST12
eif4g1a	EIF4G1
LOC107384352	EPS15
espnlb	ESPNL
h2bk1	HIST1H2BG
zgc:153615	SCHIP1
lhx8a	LHX8
LOC107384414	PIK3R3
cntnap2b	CNTNAP2
LOC107383887	RNF11
mrc1b	MRC1
myripa	MYRIP
LOC107384413	TMEM69
LOC107384108	SLC25A12
LOC107384268	SLC22A13
LOC107384299	ELF1
LOC107384393	PDE4B
si:dkey-195m11.8	FIGN
LOC107384046	COQ3
LOC107384200	38777
si:ch211-188c16.1	PRAM1
LOC107383983	ZNF594
LOC107383912	PHACTR1
LOC107384400	LRP8
kiaa1217	KIAA1217
LOC107384273	ZNF594
si:rp71-1g18.1	ZNF180
LOC129163375	KMT5A
LOC107374208	PRSS48
LOC107381959	CGB1
ftcdnl1	FTCDNL1
tgm8	TGM2
si:ch73-15b2.5	ARHGEF19
mapkapk3	MAPKAPK3
si:ch211-105j21.9	CHD5
iho1	CCDC36
LOC107385105	GDI1
grm2a	GRM2
LOC107385260	A3GALT2
slc38a3b	SLC38A3
LOC107385846	SRPK1
LOC107385918	ZNF180
LOC107385727	SLC38A3
il17rc	IL17RC
tespa1	TESPA1
myl6	MYL6
LOC107384976	TGM2
LOC107374604,LOC107396899	ZNF594
LOC107384847	RNF123
pth4	PTHLH
LOC107385533	KRT76
syn2b	SYN2
LOC107385569	ZNF664
sdhb	SDHB
LOC107385855,LOC107385857,opn1lw1	OPN1MW3
plxna1b	PLXNA1
LOC107384860	RBM39
LOC107385717	MAPKAPK3
LOC107385184	SRGAP3
sxph	LTF
si:ch211-67f24.7	ARHGEF33
rbm25a	RBM25
nat8	NAT8
si:ch211-195b15.8	DUSP16
LOC107391990	TDRD6
akap12a	AKAP12
LOC107391882	NAT8
LOC107391884	TTC31
tmsb2	TMSB10
si:busm1-48c11.3	HLA-DQA1
LOC129157530	ZNF594
LOC107395335	GSG1L2
LOC107381980	NR2F2
LOC107382034	ASTL
LOC107381991	ZNF180
LOC139071614	ASTL
adgrg1	ADGRG5
LOC107379814,LOC107386875	CLDN4
LOC107386964	FAT3
LOC107387037	RIMBP3B
LOC107386869	CLDN4
LOC107386897	GOSR1
LOC107387046	PTGDS
LOC107386868	CLDN4
slc22a21	SLC22A4
ubb	UBA52
caln2	CALN1
LOC107396861	PCDHB2
LOC107396858	PCDHB2
LOC107396883	PCDHB2
LOC107384566	RALB
LOC107384583	TSPAN6
f7l	F7
zdbf2	ZDBF2
rbm4.3	RBM14-RBM4
si:dkey-6n21.12	SCHIP1
gypc	CNTNAP2
LOC107384785	RBM14-RBM4
zfyve9b	ZFYVE9
sec22bb	SEC22B
rnf11b	RNF11
plppr3b	PLPPR3
tob1b	TOB1
LOC107387684	HS3ST3A1
LOC107388115,LOC107388116	ZNF180
zgc:123217	PRSS48
prkcea	PRKCE
LOC107388118	ZNF180
LOC107387938	ZNF180
LOC107388288	SULT2A1
LOC107388261	SLC2A11
LOC107387983	CA4
LOC107387917	ATXN7L3
LOC107387558	DUPD1
LOC107388113	ZNF594
LOC107387712	GPRIN3
LOC107387773	KCNK1
LOC139063531	MYNN
LOC107388278	PLCXD1
LOC107387802	IKZF5
LOC107387919	UBTF
LOC107387990	RIC8A
LOC107387598	CA4
LOC139061536	LMTK2
LOC107388125	ZNF79
fam20cb	FAM20C
LOC107387842	ZNF180
LOC139063536	ZNF180
epas1a	EPAS1
LOC107387984	CA4
LOC107387682	PPP1R9B
LOC107388119	ZNF180
trrap	TRRAP
zranb1a	ZRANB1
samd8	SAMD8
frmpd2	FRMPD2
LOC107388122	ZNF594
LOC107387794	ZNF180
LOC107388120	ZNF180
LOC107388080	PACSIN3
LOC107388010	TRIM29
LOC107373079	ZNF594
LOC107377354	ZNF180
LOC107373224	ZNF594
LOC129159929	ZNF180
LOC107374486	ZNF594
LOC129159904	ZNF180
LOC107373214	ZNF594
LOC139066150	ZNF594
LOC139071717	ATN1
LOC107373020	ZNF594
LOC107397210	ZNF594
LOC107379104	ZNF180
LOC129155848	ZNF180
LOC129157543	ZNF594
LOC107373343	ZNF594
LOC139064267	ZNF594
LOC107374650	ZNF594
LOC107372772	ZNF594
LOC107382053	TCF7L1
LOC139070612	HIPK2
LOC107384659	CLDN34
LOC129159900	ZNF180
LOC107388200	ZNF180
LOC107397300	TAAR5
LOC129164988	RP5-877J2.1
LOC107390245	TAAR5
LOC139066303	MYNN
LOC139064313,LOC139069722	SCAND1
LOC139061897	ATN1
LOC107376863	TRIM29
LOC107379601	S100P
LOC129160189	OTUD5
LOC107375779	ZNF180
LOC129167177	GIN1
LOC139064710	PIF1
LOC139062659	ZSCAN2
LOC107372648	ZNF180
LOC129163063	ZNF180
LOC107374165	ZNF180
LOC139069627	ZNF180
LOC107373265	ZSCAN2
LOC107373917	ZNF180
LOC139069603	THAP12
LOC129154822	ZNF180
LOC139069938	SCAND1
LOC107383729	ZNF180
LOC107373385	ZNF180
LOC139066230	ZNF594
LOC129160806	ZNF594
cradd	NGDN
LOC107397261	ZNF594
LOC139066154	ZNF180
LOC107373490	ZSCAN2
LOC129156172,LOC139064488,LOC139070287	ATN1
LOC107372854	ZNF180
LOC139061495	ZNF594
LOC129160839	ZNF180
LOC139066158	ZNF180
LOC139066238	ZNF594
LOC107374645	ZNF594
LOC107395921	ZNF180
LOC139070246	ZNF594
LOC107372787,LOC129160848,LOC129160849,LOC129160851,LOC129160852,LOC129160853,LOC129160854,LOC129160855,LOC129160856,LOC139062641,LOC139062643,LOC139062645,LOC139066326,LOC139066327,LOC139066328,LOC139066329,LOC139066330,LOC139066331,LOC139066332	TUBB3
LOC107384370	ZNF180
LOC107376822	ZSCAN2
LOC107376837	TRIM29
LOC129161883	ZNF180
LOC129163060	ZNF180
LOC107383029	ATN1
LOC129163067	ZNF180
nfu1	NFU1
nfx1	NFX1
nfxl1	NFXL1
nfyal	NFYA
nfyba	NFYB
nfyc	NFYC
ngb	NGB
ngdn	NGDN
ngfb	NGF
ngfrb	NGFR
ngfra	NGFR
ngly1	NGLY1
ngrn	NGRN
nhej1	NHEJ1
LOC107381035	NHLH2
nhlrc2	NHLRC2
LOC107395494	NHLRC3
nhp2	NHP2
snu13b	SNU13
nhsl1a	NHSL1
nhsl1b	NHSL1
nhsl2	NHSL2
nicn1	RP11-949J7.8
nid1a	NID1
nid2a	NID2
nin	NIN
ninj1	NINJ1
LOC129164779	NINJ1
LOC107385071	NINJ2
nip7	NIP7
nipa1	NIPAL1
nipa2	NIPA2
LOC107395490	NIPAL2
nipal3	NIPAL3
nipal4	NIPAL4
LOC107373962	NIPBL
nipbla	NIPBL
nipsnap1	NIPSNAP1
nipsnap3a	NIPSNAP3B
nisch	NISCH
nit1	NIT1
nit2	NIT2
nkain1	NKAIN1
nkain2	NKAIN2
nkap	NKAPL
nkd1	NKD1
nkiras1	NKIRAS1
nkiras2	NKIRAS2
nkrf	NKRF
nktr	NKTR
nkx1.2lb	NKX1-1
nkx2.2a	NKX2-2
LOC107378169	NKX2-2
nkx2.5	NKX2-5
nkx2.4b	NKX2-1
nkx2.4a	NKX2-1
nkx2.9	NKX2-8
nkx3-2	NKX3-2
nkx3-1	NKX3-1
nkx6.2	NKX6-2
nkx6.1	NKX6-1
nle1	NLE1
nlgn2a	NLGN2
nlgn2b	NLGN2
nlgn3a	NLGN3
nlgn3b	NLGN3
nlgn4xa	NLGN4X
LOC107394986,nlk1	NLK
nlrc3	NLRC3
nlrc5	NLRC5
nlrx1	NLRX1
nmbb	NMB
nmbr	NMBR
nmd3	NMD3
LOC107390306	NME2
nme3	NME2
nme4	NME4
nme5	NME5
nme6	NME6
nme7	NME7
nme9	NME9
nmi	NMI
nmnat1	NMNAT1
nmnat2	NMNAT2
rbp1.1	NMNAT3
nmnat3	NMNAT3
nmrk1	NMRK1
mibp	NMRK2
nms	NMU
nmt1a	NMT1
nmt2	NMT2
nmu	NMU
LOC107395070	NMUR1
nnt	NNT
noa1	NOA1
nob1	NOB1
noc2l	NOC2L
noc3l	NOC3L
noc4l	NOC4L
nod1	NOD1
LOC107397220	NOG
nog3	NOG
nol10	NOL10
nol11	NOL11
nol6	NOL6
nol8	NOL8
nol9	NOL9
nom1	NOM1
nomo	NOMO1
nono	NONO
nop14	NOP14
nop16	NOP16
nop2	NOP2
nop56	NOP56
nop58	NOP58
nos1	NOS1
nos1apa	NOS1AP
nosip	NOSIP
notch1a	NOTCH1
notch1b	NOTCH1
notch2	NOTCH2
notch3	NOTCH3
notchl	NOTCH3
noto	NOTO
notum1b	NOTUM
ccn3	NOV
nova1	NOVA2
nova2	NOVA2
LOC107380454	NOX4
nox5	NOX5
noxo1b	NOXO1
LOC107391662	NPAS3
npas1	NPAS1
npas4a	NPAS4
npb	NPB
npbwr2b	NPBWR2
npc1	NPC1
npc1l1	NPC1L1
LOC107392385	NPC2
npdc1a	NPDC1
npepl1	NPEPL1
npepps	NPEPPS
npffr2a	NPFFR2
nphp1	NPHP1
LOC107382465	NPHP3-ACAD11
nphp4	NPHP4
nphs1	NPHS1
nphs2	NPHS2
npl	NPL
nploc4	NPLOC4
npm1a	NPM1
npm3	NPM3
npnta	NPNT
LOC107396739	NPNT
npr1a	NPR1
npr1b	NPR1
npr2	NPR2
npr3	NPR3
nprl2	NPRL2
nprl3	NPRL3
LOC107388619	NPTN
LOC129153547	NPTN
nptnb	NPTN
nptx1l	NPTX1
nptx2a	NPTX2
nptx2b	NPTX2
cbx6a	CBX4
npy	NPY
npy2rl	NPY2R
npy2r	NPY2R
LOC107395873	CH17-360D5.1
nqo1	NQO1
LOC107389919,LOC107389920,LOC107389921,LOC129164946,LOC129164947	NQO1
LOC107389920,LOC129164946,LOC129164947	NQO1
nr0b1	NR0B1
nr0b2a	NR0B2
nr1d1	NR1D2
nr1d2a	NR1D2
nr1d2b	NR1D2
nr1d4a	NR1D2
LOC107385638	NR1D2
nr1h3	NR1H3
nr1h4	NR1H4
nr1i2	VDR
nr2c1	NR2C1
nr2c2	NR2C2
